name,total_shipped,genres,themes,game_engines,age_ratings
grand theft auto: san andreas,17.3,"['shooter', 'racing', 'adventure']","['action', 'open world']",renderware,m
grand theft auto v,20.32,"['shooter', 'adventure']","['action', 'comedy', 'sandbox', 'open world']",rage,m
grand theft auto: vice city,16.15,"['shooter', 'racing', 'adventure', 'arcade']","['action', 'comedy', 'sandbox', 'open world']",renderware,m
gran turismo 3: a-spec,14.89,"['racing', 'simulator']",['non-fiction'],custom built engine,e
call of duty: modern warfare 3,14.82,"['shooter', 'tactical', 'adventure']","['action', 'warfare']",iw engine,m
call of duty: black ops,14.74,['shooter'],"['action', 'horror', 'survival', 'historical', 'warfare']",iw engine,m
red dead redemption 2,13.94,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'drama', 'open world']",rage,m
call of duty: black ops ii,13.86,['shooter'],"['action', 'science fiction', 'warfare']",iw engine,m
call of duty: modern warfare 2,13.53,['shooter'],"['action', 'stealth', 'warfare']",iw engine,m
call of duty: wwii,13.4,['shooter'],"['action', 'historical', 'warfare']",in house engine,m
grand theft auto iii,13.1,"['shooter', 'racing', 'simulator', 'adventure']","['action', 'sandbox', 'open world']",renderware,m
mario kart 8 deluxe,55.46,"['racing', 'arcade']","['action', 'fantasy', 'kids', 'party']",autodesk beast,e
super smash bros. brawl,13.32,"['fighting', 'platform']",['action'],havok physics,t
super mario 64,11.91,"['platform', 'adventure']","['action', 'sandbox', 'kids']",super mario 64 engine,e
fifa 18,11.8,['sport'],['non-fiction'],frostbite,e
gran turismo 4,11.76,"['racing', 'simulator']",['action'],custom built engine,e
grand theft auto iv,11.09,"['shooter', 'racing', 'adventure']","['action', 'open world']",rage,m
gran turismo,10.85,"['racing', 'simulator']",['non-fiction'],custom built engine,e
fifa 17,10.94,['sport'],['non-fiction'],ignite engine,e
call of duty: ghosts,10.41,['shooter'],"['action', 'science fiction', 'thriller', 'survival', 'stealth', 'warfare']",iw engine,m
halo: reach,9.97,['shooter'],"['action', 'science fiction', 'warfare']",havok physics,m
halo 4,9.96,['shooter'],"['action', 'science fiction', 'warfare']",halo reach,m
minecraft,13.0,"['simulator', 'adventure']","['fantasy', 'survival', 'sandbox', 'kids', 'open world']",lightweight java game library,e10
the legend of zelda: breath of the wild,30.65,"['puzzle', 'role-playing (rpg)', 'adventure']","['action', 'fantasy', 'science fiction', 'survival', 'drama', 'sandbox', 'open world']",havok physics,e10
call of duty 4: modern warfare,9.41,"['shooter', 'simulator']","['action', 'warfare']",iw engine,m
fifa 19,9.15,['sport'],['non-fiction'],frostbite,e
the elder scrolls v: skyrim,8.88,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'stealth', 'sandbox', 'open world']",creation engine,m
marvel's spider-man,20.0,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'stealth', 'drama', 'open world']",insomniac engine v.4.0,t
halo 2,8.0,['shooter'],"['action', 'science fiction']",havok physics,m
call of duty: infinite warfare,8.48,"['shooter', 'adventure']","['action', 'science fiction', 'warfare']",iw engine,m
fallout 4,8.48,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'survival', 'sandbox', 'open world']",creation engine,m
fifa 16,8.22,['sport'],['non-fiction'],ignite engine,e
goldeneye 007,8.09,['shooter'],['action'],enginex,t
the sims 3,7.96,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims 3 engine,t
call of duty: advanced warfare,7.53,['shooter'],"['action', 'science fiction', 'warfare']",in-house engine,m
call of duty: world at war,7.5,"['shooter', 'adventure']","['action', 'horror', 'survival', 'historical', 'warfare']",iw engine,m
battlefield 3,7.35,['shooter'],"['action', 'warfare']",frostbite,m
battlefield 1,7.26,['shooter'],"['action', 'historical', 'warfare']",frostbite,m
uncharted 3: drake's deception,9.3,"['shooter', 'platform', 'adventure']","['action', 'fantasy', 'historical']",naughty dog engine,t
the last of us remastered,11.78,"['shooter', 'adventure']","['action', 'horror', 'survival', 'stealth']",proprietry in house engine,m
gears of war 2,5.0,['shooter'],"['action', 'science fiction']",unreal engine,m
uncharted 2: among thieves,6.74,"['shooter', 'platform', 'adventure']","['action', 'fantasy', 'historical']",naughty dog engine,t
fifa 14,6.61,['sport'],['non-fiction'],impact engine,e
red dead redemption,6.57,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'sandbox', 'open world']",rage,m
assassin's creed iii,6.5,"['strategy', 'adventure']","['action', 'fantasy', 'science fiction', 'historical', 'stealth', 'sandbox', 'open world']",anvilnext,m
halo: combat evolved,5.0,['shooter'],"['action', 'science fiction']",blam! engine,m
halo 3: odst,3.0,['shooter'],"['action', 'science fiction', 'warfare']",halo 3,m
fifa 15,6.32,['sport'],['non-fiction'],ignite engine,e
gears of war 3,3.0,['shooter'],"['action', 'science fiction', 'horror']",unreal engine,m
gears of war,5.0,['shooter'],"['action', 'science fiction', 'horror']",unreal engine,m
sonic the hedgehog 2,6.0,"['platform', 'adventure', 'arcade']","['action', 'science fiction']",custom built engine,e
resident evil 2,4.96,"['shooter', 'adventure']","['action', 'horror', 'survival']",re engine,m
destiny,5.76,"['shooter', 'role-playing (rpg)']","['action', 'science fiction', 'warfare']",tiger,t
uncharted: the nathan drake collection,5.7,"['shooter', 'platform', 'adventure']","['action', 'fantasy', 'historical']",naughty dog engine,t
assassin's creed ii,5.57,"['platform', 'adventure']","['action', 'fantasy', 'science fiction', 'historical', 'stealth', 'sandbox', 'open world']",anvil,m
batman: arkham city,5.54,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'stealth', 'open world']",unreal engine,t
the witcher 3: wild hunt,12.4,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'open world']",redengine,m
final fantasy xiii,5.35,"['role-playing (rpg)', 'adventure']","['action', 'fantasy']",crystal tools,t
microsoft flight simulator,5.12,['simulator'],['non-fiction'],ftech x,e
resident evil 5,5.1,"['shooter', 'puzzle', 'adventure']","['action', 'horror', 'survival']",mt framework,m
grand theft auto: vice city stories,5.08,"['racing', 'adventure']","['action', 'sandbox', 'open world']",renderware,m
